Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,6933,8857,11078,8513,9252,9974,9760,10045
SIZE,8.84,9.09,9.31,9.05,9.13,9.21,9.19,9.21,,Foreign sales,9546,11342,15107,13911,12852,14547,14800,14457
Sales,10929,13005,17207,15884,14808,16695,16911,16537,,BV equity,2319,2443,2383,2949,3188,3565,3923,4364
FSD,1,1,1,1,1,1,1,1,,Cash,129,167,105,322,540,331,330,213
FSTS,0.87,0.87,0.88,0.88,0.87,0.87,0.88,0.87,,Gross nominal value,1384,2655,3587,1190,1217,1491,3041,4461
Hedging,,,,,,,,,,R&D expenses,111,190,121,307,409,146,376,119
Tobin's Q,1.85,1.27,1.18,1.41,1.49,1.46,1.76,2.25,,Total debt,3156,4457,5220,3502,3182,3484,2857,2497
FXD,1,1,1,1,1,1,1,1,,Capex,501,685,396,316,335,350,374,555
Gross FXD,1384,2655,3587,1190,1217,1491,3041,4461,,Net income,177,319,-4,843,626,604,647,741
DERIV,0.13,0.20,0.21,0.07,0.08,0.09,0.18,0.27,,Short term liabilities,1898,1925,3368,1727,2578,2610,2667,2884
Controls,,,,,,,,,,No of shares (millions),41,41,41,41,41,41,41,41
R&D/sales,0.010,0.015,0.007,0.019,0.028,0.009,0.022,0.007,,Share price 31/12 (est = x cost of EQ - dividend),201,117,106,157,188.5,199.5,276,412
Leverage,1.36,1.82,2.19,1.19,1.00,0.98,0.73,0.57,,Capitalization,8241,4797,4346,6437,7728.5,8179.5,11316,16892
Quick ratio,0.068,0.087,0.031,0.186,0.209,0.127,0.124,0.074,,,,,,,,,,
Capex/sales,0.046,0.053,0.023,0.020,0.023,0.021,0.022,0.034,,,,,,,,,,
ROA ,0.026,0.036,-0.0004,0.099,0.068,0.061,0.066,0.074,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,-203,-104,-131,-47,0,-19,-13,21,,,,,,,,,,
DDE,0,0,0,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
