Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,35557,37732,44960,42618,45389,55728,60205,65763
SIZE,10.48,10.54,10.71,10.66,10.72,10.93,11.01,11.09,,Foreign sales,29702,32003,33294,33400,35018,39134,43633,45407
Sales,31137,33550,34829,34963,36823,41786,46619,48481,,BV equity,13645,15668,18838,19334,20821,22998,26001,28813
FSD,1,1,1,1,1,1,1,1,,Cash,1154,1138,1931,2235,1302,1665,907,362
FSTS,0.95,0.95,0.96,0.96,0.95,0.94,0.94,0.94,,Foreign exchange forwards,6202,6064,4312,3629,4974,9936,3940,8962
Hedging,,,,,,,,,,R&D expenses,719,776,901,920,1015,1202,1344,1390
Tobin's Q,2.15,1.84,1.30,1.73,2.07,1.73,2.06,2.48,,Total debt,13560,12953,14013,11048,10564,14207,15805,19595
FXD,1,1,1,1,1,1,1,1,,Capex,739,751,829,664,708,846,557,1202
Gross FXD,6202,6064,4312,3629,4974,9936,3940,8962,,Net income,1756,3368,2438,2659,4080,3869,5172,4775
DERIV,0.17,0.16,0.10,0.09,0.11,0.18,0.07,0.14,,Short term liabilities,12380,11843,15514,9406,11120,18563,16911,16842
Controls,,,,,,,,,,No of shares (millions),365.9,365.9,365.9,365.9,366.2,368.3,370.9,370.9
R&D/sales,0.023,0.023,0.026,0.026,0.028,0.029,0.029,0.029,,Share price 31/12 (est = x cost of EQ - dividend),149,129.75,88.5,137.8,189.5,172.6,242.9,339.8
Leverage,0.99,0.83,0.74,0.57,0.51,0.62,0.61,0.68,,Capitalization,54519,47476,32382,50421,69395,63569,90092,126032
Quick ratio,0.093,0.096,0.124,0.238,0.117,0.090,0.054,0.021,,,,,,,,,,
Capex/sales,0.024,0.022,0.024,0.019,0.019,0.020,0.012,0.025,,,,,,,,,,
ROA ,0.049,0.089,0.054,0.062,0.090,0.069,0.086,0.073,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,,,,,,,,,,,,,,,,,,
DDE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
