Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,18750,23238,29032,26206,27169,34503,34988,34938
SIZE,9.84,10.05,10.28,10.17,10.21,10.45,10.46,10.46,,Foreign sales,18947,23862,26889,25199,23871,27710,28957,29018
Sales,19802,24849,27850,26039,24720,28652,29813,29934,,BV equity,6831,7937,10493,12229,13582,15144,14453,16162
FSD,1,1,1,1,1,1,1,1,,Cash,546,856,1083,1112,1328,1564,1404,1454
FSTS,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,,Gross nominal value,6379,7179,10001,7711,6660,6500,6069,9111
Hedging,,,,,,,,,,R&D expenses,526,643,718,654,625,648,707,732
Tobin's Q,1.10,1.09,1.64,2.13,2.70,2.15,2.21,2.52,,Total debt,2203,3456,3701,1947,1352,5311,6101,4662
FXD,1,1,1,1,1,1,1,1,,Capex,373,556,747,451,429,555,531,495
Gross FXD,6379,7179,10001,7711,6660,6500,6069,9111,,Net income,1725,3180,3807,2737,3116,3251,3223,3040
DERIV,0.34,0.31,0.34,0.29,0.25,0.19,0.17,0.26,,Short term liabilities,6742,8456,10742,7676,7954,9385,9407,10022
Controls,,,,,,,,,,No of shares (millions),111.7,110.2,429.4,422,422,419.5,419.5,419.5
R&D/sales,0.027,0.026,0.026,0.025,0.025,0.023,0.024,0.024,,Share price 31/12 (est = x cost of EQ - dividend),77.25,91,67.5,99,141.7,130.3,135.3,165
Leverage,0.32,0.44,0.35,0.16,0.10,0.35,0.42,0.29,,Capitalization,8628.8,10028.2,28984.5,41778.0,59797.4,54660.9,56758.4,69217.5
Quick ratio,0.081,0.101,0.101,0.145,0.167,0.167,0.149,0.145,,,,,,,,,,
Capex/sales,0.019,0.022,0.027,0.017,0.017,0.019,0.018,0.017,,,,,,,,,,
ROA ,0.092,0.137,0.131,0.104,0.115,0.094,0.092,0.087,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,-448,26,-515,551,122,-335,168,13,,,,,,,,,,
DDE,0,1,0,1,1,0,1,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
