Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,68.5,84.2,59.5,79.4,88.6,109,138.8,633.9
SIZE,4.23,4.43,4.09,4.37,4.48,4.69,4.93,6.45,,Foreign sales,13,19,17.8,27.5,36.6,49.9,72.9,119.2
Sales,47.3,76,58.3,74.5,90.5,107.7,139.1,199.4,,BV equity,50.7,57.3,36.1,57.8,60.3,65.7,83.6,552.9
FSD,1,1,1,1,1,1,1,1,,Cash,16.1,17.8,0.1,16.1,23.2,38.3,26.9,503.3
FSTS,0.27,0.25,0.31,0.37,0.40,0.46,0.52,0.60,,Gross nominal value,0,0,0,0,0,0,0,0
Hedging,,,,,,,,,,R&D expenses,14.1,15.3,12.9,12.7,12.1,13.2,15.7,11.2
Tobin's Q,1.24,1.11,1.51,2.17,2.03,1.80,4.96,6.45,,Total debt,0,0,0,0,0,0,0,0
FXD,0,0,0,0,0,0,0,0,,Capex,8.2,10.6,5.3,6.5,5.7,8.2,9.2,2.8
Gross FXD,0,0,0,0,0,0,0,0,,Net income,-8.6,2.3,-20.4,-6.5,1.8,5.5,15,15.4
DERIV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Short term liabilities,17.8,26.9,23.4,21.6,28.3,43.2,55.2,81
Controls,,,,,,,,,,No of shares (millions),,,,,,,,
R&D/sales,0.298,0.201,0.221,0.170,0.134,0.123,0.113,0.056,,Share price 31/12 (est = x cost of EQ - dividend),,,,,,,,
Leverage,0,0,0,0,0,0,0,0,,Capitalization,66.8,66.6,66.6,150.8,151.4,153.4,633,4010
Quick ratio,0.90,0.66,0.00,0.75,0.82,0.89,0.49,6.21,,,,,,,,,,
Capex/sales,0.173,0.139,0.091,0.087,0.063,0.076,0.066,0.014,,,,,,,,,,
ROA ,-0.126,0.027,-0.343,-0.082,0.020,0.050,0.108,0.024,,,,,,,,,,
DD,0,0,0,0,0,0,0,0,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,,,,,,,,,,
DDE,0,0,0,0,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
