Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,55255,56659,75394,67874,71622,75109,80794,87891
SIZE,10.92,10.94,11.23,11.13,11.18,11.23,11.30,11.38,,Foreign sales,49327,61810,72342,62183,68302,79347,88492,81978
Sales,50512,63355,74177,63762,69875,81203,90533,83888,,BV equity,32708,14640,23768,25671,29321,28839,34185,39794
FSD,1,1,1,1,1,1,1,1,,Cash,20135,3473,5455,12165,14264,5716,12416,17633
FSTS,0.977,0.976,0.975,0.975,0.977,0.977,0.977,0.977,,Gross nominal value,62,692,1695,1298,321,467,458,439
Hedging,,,,,,,,,,R&D expenses,1111,1286,1473,1410,1517,1805,2034,2117
Tobin's Q,2.92,2.76,1.72,2.46,3.41,2.95,3.19,2.97,,Total debt,8787,19775,21686,10906,5510,14194,9262,7504
FXD,1,1,1,1,1,1,1,1,,Capex,2775,2950,3628,2428,2249,3735,3950,3767
Gross FXD,62,692,1695,1298,321,467,458,439,,Net income,15373,7469,10190,6276,9944,12988,13933,12082
DERIV,0.0011,0.0122,0.0225,0.0191,0.0045,0.0062,0.0057,0.0050,,Short term liabilities,18497,18974,21892,18180,18899,25336,21505,24585
Controls,,,,,,,,,,No of shares (millions),1254.2,1220.7,1219.1,1215.9,1215.9,1214.3,1213.8,1212.8
R&D/sales,0.022,0.020,0.020,0.022,0.022,0.022,0.022,0.025,,Share price 31/12 (est = x cost of EQ - dividend),,,,,,,,
Leverage,0.27,1.35,0.91,0.42,0.19,0.49,0.27,0.19,,Capitalization,138865,114630,78350,124854,201797,175271,211397,213348
Quick ratio,1.09,0.18,0.25,0.67,0.75,0.23,0.58,0.72,,,,,,,,,,
Capex/sales,0.055,0.047,0.049,0.038,0.032,0.046,0.044,0.045,,,,,,,,,,
ROA ,0.28,0.13,0.14,0.09,0.14,0.17,0.17,0.14,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,, ,,,,,,,,
ID,1,1,1,1,1,1,1,1,,,,,,,,,,
DE,3972,-2685,-3824,1381,1983,161,623,-713,,,,,,,,,,
DDE,0,0,0,1,1,1,1,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
