Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,3054,4421,5857,6020,5493,5432,5599,5227
SIZE,8.02,8.39,8.68,8.70,8.61,8.60,8.63,8.56,,Foreign sales,1810,2915,4330,4641,3870,3795,4057,3926
Sales,5058,6823,9133,9325,7648,7885,8201,7666,,BV equity,1085,1239,1551,1739,1769,1855,2009,2108
FSD,1,1,1,1,1,1,1,1,,Cash,276,170,226,209,209,92,85,214
FSTS,0.36,0.43,0.47,0.50,0.51,0.48,0.49,0.51,,Gross nominal value,177,182,293,315,147,188,528,210
Hedging,,,,,,,,,,R&D expenses,0,0,0,0,0,0,0,0
Tobin's Q,1.92,2.10,1.58,0.92,1.23,1.25,0.94,1.06,,Total debt,671,1202,2008,2179,1952,1890,1882,1519
FXD,1,1,1,1,1,1,1,1,,Capex,339,728,835,248,18,25,68,51
Gross FXD,177,182,293,315,147,188,528,210,,Net income,209,290,432,291,134,194,227,222
DERIV,0.06,0.04,0.05,0.05,0.03,0.03,0.09,0.04,,Short term liabilities,1374,1931,2238,2270,1806,1701,2287,1485
Controls,,,,,,,,,,No of shares (millions),,,,,,,,
R&D/sales,0,0,0,0,0,0,0,0,,Share price 31/12 (est = x cost of EQ - dividend),,,,,,,,
Leverage,0.62,0.97,1.29,1.25,1.10,1.02,0.94,0.72,,Capitalization,3896,6085,4934,1257,3007,3228,1685,2417
Quick ratio,0.20,0.09,0.10,0.09,0.12,0.05,0.04,0.14,,,,,,,,,,
Capex/sales,0.067,0.107,0.091,0.027,0.002,0.003,0.008,0.007,,,,,,,,,,
ROA ,0.068,0.066,0.074,0.048,0.024,0.036,0.041,0.042,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,-12,-41,25,17,11,10,10,0,,,,,,,,,,
DDE,0,0,1,1,1,1,1,0,,,,,,,,,,
