Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,1218,1349,1460,1390,1976,2201,2395,2548
SIZE,7.10,7.21,7.29,7.24,7.59,7.70,7.78,7.84,,Foreign sales,1169,1332,1466,1281,1577,1897,1823,2158
Sales,1487,1654,1836,1571,2290,2830,2780,3067,,BV equity,748,847,960,986,1395,1482,1519,1611
FSD,1,1,1,1,1,1,1,1,,Cash,191,165,196,162,269,238,254,240
FSTS,0.79,0.81,0.80,0.82,0.69,0.67,0.66,0.70,,Gross nominal value,249.6,295.8,241,380.6,330.5,314.7,189.3,371.8
Hedging,,,,,,,,,,R&D expenses,11.9,12.5,15.4,13.9,14.1,16.2,7.6,9.2
Tobin's Q,2.66,1.78,1.37,2.10,2.69,1.89,1.83,2.46,,Total debt,184,197.8,179.9,136,146.9,246.5,296.3,346.1
FXD,1,1,1,1,1,1,1,1,,Capex,71,79.2,89.1,60.5,55.2,89.2,70.5,126.3
Gross FXD,249.6,295.8,241,380.6,330.5,314.7,189.3,371.8,,Net income,190,206,216,162,287,312,286,289
DERIV,0.20,0.22,0.17,0.27,0.17,0.14,0.08,0.15,,Short term liabilities,370,435,390,301,438,544,549,634
Controls,,,,,,,,,,No of shares (millions),27.431,27.431,27.431,27.431,29.456,30.131,30.131,30.131
R&D/sales,0.008,0.008,0.008,0.009,0.006,0.006,0.003,0.003,,Share price 31/12 (est = x cost of EQ - dividend),101,69.25,54.5,91.5,160.5,114,116,177
Leverage,0.25,0.23,0.19,0.14,0.11,0.17,0.20,0.21,,Capitalization,2771,1900,1495,2510,4728,3435,3495,5333
Quick ratio,0.52,0.38,0.50,0.54,0.61,0.44,0.46,0.38,,,,,,,,,,
Capex/sales,0.048,0.048,0.049,0.039,0.024,0.032,0.025,0.041,,,,,,,,,,
ROA ,0.16,0.15,0.15,0.12,0.15,0.14,0.12,0.11,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,1,1,1,1,1,1,1,1,,,,,,,,,,
DE,19.2,-29.3,-14.7,26.8,8.4,-18.6,0.6,-6.4,,,,,,,,,,
DDE,1,0,0,1,1,0,1,0,,,,,,,,,,
