Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,1542,1985,2219,4007,3969,5092,5013,5109
SIZE,7.34,7.59,7.70,8.30,8.29,8.54,8.52,8.54,,Foreign sales,1742,2154,2425,4493,4661,5510,6537,6270
Sales,2592,3136,3357,5263,4992,5846,6758,6595,,BV equity,536,727,990,2176,2359,2419,2340,2417
FSD,1,1,1,1,1,1,1,1,,Cash,78,81,104,334,174,237,188,181
FSTS,0.67,0.69,0.72,0.85,0.93,0.94,0.97,0.95,,Gross nominal value,0,0,0,0,0,0,0,0
Hedging,,,,,,,,,,R&D expenses,2.3,7,1.9,1,1.2,0,0,0
Tobin's Q,1.5,2.8,1.2,1.4,1.9,1.4,1.4,1.6,,Total debt,565,699,722,734,570,1399,1417,1393
FXD,0,0,0,0,0,0,0,0,,Capex,34,290,92,1133,36.3,1005,88.3,57.6
Gross FXD,0,0,0,0,0,0,0,0,,Net income,109,212,255,206,259,374,306,244.2
DERIV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Short term liabilities,1006,1258,791,1367,1296,1667,1634,1704
Controls,,,,,,,,,,No of shares (millions),,,,,,,,
R&D/sales,0.00089,0.00223,0.00057,0.00019,0.00024,0.00000,0.00000,0.00000,,Share price 31/12 (est = x cost of EQ - dividend),,,,,,,,
Leverage,1.05,0.96,0.73,0.34,0.24,0.58,0.61,0.58,,Capitalization,1350,4216,1356,3643,5947,4641,4588,5484
Quick ratio,0.08,0.06,0.13,0.24,0.13,0.14,0.12,0.11,,,,,,,,,,
Capex/sales,0.013,0.092,0.027,0.215,0.007,0.172,0.013,0.009,,,,,,,,,,
ROA ,0.071,0.107,0.115,0.051,0.065,0.073,0.061,0.048,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,,,,,,,,,,
DDE,0,0,0,0,0,0,0,0,,,,,,,,,,
