Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,6064,7043,5414,4717,5078,5506,5842,6095
SIZE,8.7,8.9,8.6,8.5,8.5,8.6,8.7,8.7,,Foreign sales,5339,5622,5490,5330,5800,5929,6520,6082
Sales,14056,15402,14280,13700,16257,18160,17662,17656,,BV equity,1684,1507,1229,1425,1739,1813,1586,1823
FSD,1,1,1,1,1,1,1,1,,Cash,121,97,98,119,68,97,62,155
FSTS,0.38,0.37,0.38,0.39,0.36,0.33,0.37,0.34,,Gross nominal value,0,0,0,0,0,0,0,0
Hedging,,,,,,,,,,R&D expenses,0,0,0,0,0,0,0,0
Tobin's Q,1.1,1.1,0.8,1.1,1.3,1.1,1.1,1.4,,Total debt,491,1683,1167,579,603,880,624,720
FXD,0,0,0,0,0,0,0,0,,Capex,74,135,49,103,253,333,643,805
Gross FXD,0,0,0,0,0,0,0,0,,Net income,93,100,-110,114,407,420,156,290
DERIV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Short term liabilities,2848,3382,2886,2203,2230,2433,2741,2861
Controls,,,,,,,,,,No of shares (millions),,,,,,,,
R&D/sales,0,0,0,0,0,0,0,0,,Share price 31/12 (est = x cost of EQ - dividend),,,,,,,,
Leverage,0.29,1.12,0.95,0.41,0.35,0.49,0.39,0.39,,Capitalization,2550,2200,345,1764,3222,2426,2348,4123
Quick ratio,0.04,0.03,0.03,0.05,0.03,0.04,0.02,0.05,,,,,,,,,,
Capex/sales,0.005,0.009,0.003,0.008,0.016,0.018,0.036,0.046,,,,,,,,,,
ROA ,0.015,0.014,-0.020,0.024,0.080,0.076,0.027,0.048,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,,,,,,,,,,
DDE,0,0,0,0,0,0,0,0,,,,,,,,,,
