Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,91,111,154,180,228,280,517,383
SIZE,4.5,4.7,5.0,5.2,5.4,5.6,6.2,5.9,,Foreign sales,39,75,89,111,184,213,507,228
Sales,87,107,145,203.5,236,315,645.2,315.9,,BV equity,75,95,132,161,187,230,453,317
FSD,1,1,1,1,1,1,1,1,,Cash,40,43,58,100,147,172,375,234
FSTS,0.448275862,0.700934579,0.613793103,0.545454545,0.779661017,0.676190476,0.785802852,0.721747388,,Gross nominal value,0,0,0,0,0,0,0,0
Hedging,,,,,,,,,,R&D expenses,19,18,23,27,29,34,36,41
Tobin's Q,7.83,4.45,3.84,7.75,7.46,10.25,5.98,11.62,,Total debt,0,0,0,0,0,0,0,0
FXD,0,0,0,0,0,0,0,0,,Capex,1.1,2,2.4,2.9,0.7,16.1,29,17
Gross FXD,0,0,0,0,0,0,0,0,,Net income,3,20,36,36,47,80,330,64
DERIV,0,0,0,0,0,0,0,0,,Short term liabilities,16,16,22,19,41,49,36,66
Controls,,,,,,,,,,No of shares (millions),17.2,17.2,17.2,17.2,17.3,17.3,17.3,17.3
R&D/sales,0.22,0.17,0.16,0.13,0.12,0.11,0.06,0.13,,Share price 31/12 (est = x cost of EQ - dividend),40.5,27.8,33.1,80,96,163,175,253.5
Leverage,0,0,0,0,0,0,0,0,,Capitalization,697,478,569,1376,1661,2820,3028,4386
Quick ratio,2.5,2.7,2.6,5.3,3.6,3.5,10.4,3.5,,,,,,,,,,
Capex/sales,0.01,0.02,0.02,0.01,0.00,0.05,0.04,0.05,,,,,,,,,,
ROA ,0.03,0.18,0.23,0.20,0.21,0.29,0.64,0.17,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,,,,,,,,,,
DDE,0,0,0,0,0,0,0,0,,,,,,,,,,
