Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,35213,33204,30987,27635,36716,40323,40001,34409
SIZE,10.47,10.41,10.34,10.23,10.51,10.60,10.60,10.45,,Foreign sales,28480,25831,23139,21650,27628,32700,33279,28248
Sales,35213,33204,30987,27635,36716,40323,40001,34409,,BV equity,16089,12932,16131,16257,18846,21032,22354,23075
FSD,1,1,1,1,1,1,1,1,,Cash,3196,878,1204,825,821,355,1011,611
FSTS,0.81,0.78,0.75,0.78,0.75,0.81,0.83,0.82,,Outstanding derivatives/other financial receivables,17159,6513,1731,8077,3312,10248,7796,6828
Hedging,,,,,,,,,,R&D expenses,215,322,377,218,286,358,429,405
Tobin's Q,1.88,1.28,0.64,1.32,1.51,1.16,1.28,1.11,,Total debt,3022,6423,7538,8264,5437,7024,7358,9350
FXD,1,1,1,1,1,1,1,1,,Capex,1843,2511,4621,4912,2911,3992,4151,4954
Gross FXD,17159,6513,1731,8077,3312,10248,7796,6828,,Net income,6268,3787,935,2501,3957,3389,3341,1294
DERIV,0.49,0.20,0.06,0.29,0.09,0.25,0.19,0.20,,Short term liabilities,5804,6784,3897,6621,7663,6918,7759,9005
Controls,,,,,,,,,,No of shares (millions),289,274,274,274,274,274,274,274
R&D/sales,0.0061,0.0097,0.0122,0.0079,0.0078,0.0089,0.0107,0.0118,,Share price 31/12 (est = x cost of EQ - dividend),162.41,81.25,17.8,92.1,136.7,100.5,122.1,98.45
Leverage,0.19,0.50,0.47,0.51,0.29,0.33,0.33,0.41,,Capitalization,46936,22263,4877,25235,37456,27537,33455,26975
Quick ratio,0.55,0.13,0.31,0.12,0.11,0.05,0.13,0.07,,,,,,,,,,
Capex/sales,0.052,0.076,0.149,0.178,0.079,0.099,0.104,0.144,,,,,,,,,,
ROA ,0.178,0.114,0.030,0.091,0.108,0.084,0.084,0.038,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,1,1,1,1,1,1,1,1,,,,,,,,,,
DE,6200,-5025,4149,-1867,-305,523,-147,728,,,,,,,,,,
DDE,1,0,1,0,0,1,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
