Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,3885,3747,2995,2154,2976,2620,2438,2392
SIZE,8.26,8.23,8.00,7.68,8.00,7.87,7.80,7.78,,Foreign sales,649,741,358,334,219,222,156,171
Sales,2147,2648,1097,939,792,806,549,549,,BV equity,2737,2754,2481,1497,2330,1978,2134,2479
FSD,1,1,1,1,1,1,1,1,,Cash,252,449,789,165,684,431,491,139
FSTS,0.30,0.28,0.33,0.36,0.28,0.28,0.28,0.31,,Gross nominal value,0,0,0,0,0,0,0,0
Hedging,,,,,,,,,,R&D expenses,0,0,0,0,0,0,0,0
Tobin's Q,0.84,1.21,0.86,1.12,1.20,0.74,0.86,0.85,,Total debt,268,216,192,187,407,94,108,74
FXD,0,0,0,0,0,0,0,0,,Capex,0,0,0,0,0,0,0,0
Gross FXD,0,0,0,0,0,0,0,0,,Net income,885,1047,883,46,434,55,-154,180
DERIV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Short term liabilities,723,665,300,572,285,257,290,196
Controls,,,,,,,,,,No of shares (millions),,,,,,,,
R&D/sales,0,0,0,0,0,0,0,0,,Share price 31/12 (est = x cost of EQ - dividend),,,,,,,,
Leverage,0.10,0.08,0.08,0.12,0.17,0.05,0.05,0.03,,Capitalization,2098,3533,2073,1752,2940,1302,1784,2109
Quick ratio,0.35,0.68,2.63,0.29,2.40,1.68,1.69,0.71,,,,,,,,,,
Capex/sales,0,0,0,0,0,0,0,0,,,,,,,,,,
ROA ,0.228,0.279,0.295,0.021,0.146,0.021,-0.063,0.075,,,,,,,,,,
DD,0,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,,,,,,,,,,
DDE,0,0,0,0,0,0,0,0,,,,,,,,,,
