Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,2440,2543,2419,2584,2173,711,3443,5038
SIZE,7.80,7.84,7.79,7.86,7.68,6.57,8.14,8.52,,Foreign sales,62,66,74,71,59,3,55,71
Sales,177,180,189,203,168,27,287,317,,BV equity,826,1006,806,883,845,297,735,1642
FSD,1,1,1,1,1,1,1,1,,Cash,63,35,45,103,57,94,0,214
FSTS,0.35,0.37,0.39,0.35,0.35,0.11,0.19,0.22,,Gross nominal value,0,0,0,0,0,0,0,0
Hedging,,,,,,,,,,R&D expenses,0,0,0,0,0,0,0,0
Tobin's Q,1.1,1.1,1.0,1.1,1.4,1.5,1.0,0.9,,Total debt,1307,1224,1354,1367,1047,306,306,3003
FXD,0,0,0,0,0,0,0,0,,Capex,5.7,4.5,0.9,3.3,4.1,2.7,0,1.2
Gross FXD,0,0,0,0,0,0,0,0,,Net income,255,216,-132,119,349,130,220,138
DERIV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Short term liabilities,254,46,57,77,287,25,448,168
Controls,,,,,,,,,,No of shares (millions),11.565,11.565,11.565,11.565,11.565,11.565,11.565,11.565
R&D/sales,0,0,0,0,0,0,0,0,,Share price 31/12 (est = x cost of EQ - dividend),100.75,107,60,87.75,153,57.5,63,100
Leverage,1.6,1.2,1.7,1.5,1.2,1.0,0.4,1.8,,Capitalization,1165,1237,694,1015,1769,665,729,1157
Quick ratio,0.25,0.76,0.79,1.34,0.20,3.76,0.00,1.27,,,,,,,,,,
Capex/sales,0.032,0.025,0.005,0.016,0.024,0.100,0.000,0.004,,,,,,,,,,
ROA ,0.105,0.085,-0.055,0.046,0.161,0.183,0.064,0.027,,,,,,,,,,
DD,0,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,,,,,,,,,,
DDE,0,0,0,0,0,0,0,0,,,,,,,,,,
