Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,14506,13753,16662,14415,15281,13782,16760,11274
SIZE,9.58,9.53,9.72,9.58,9.63,9.53,9.73,9.33,,Foreign sales,10763,10646,10225,10996,9981,9912,9125,9793
Sales,12132,12365,12347,12157,13514,11498,11648,13069,,BV equity,4394,5162,4822,5479,6693,6141,4800,6652
FSD,1,1,1,1,1,1,1,1,,Cash,427,661,505,515,599,458,605,504
FSTS,0.89,0.86,0.83,0.90,0.74,0.86,0.78,0.75,,Gross nominal value,0,0,0,0,0,0,0,0
Hedging,,,,,,,,,,R&D expenses,0,0,0,0,0,0,0,0
Tobin's Q,2.26,2.12,2.25,1.88,2.45,2.53,2.13,2.49,,Total debt,2405,1490,1519,1798,1615,3266,2358,2072
FXD,0,0,0,0,0,0,0,0,,Capex,205,244,139,208,230,283,191,130
Gross FXD,0,0,0,0,0,0,0,0,,Net income,1908,1990,1726,2061,1825,1955,2295,2160
DERIV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Short term liabilities,4431,4477,4410,4337,5205,5370,5103,4818
Controls,,,,,,,,,,No of shares (millions),0,0,0,0,0,0,0,0
R&D/sales,0,0,0,0,0,0,0,0,,Share price 31/12 (est = x cost of EQ - dividend),0,0,0,0,0,0,0,0
Leverage,0.55,0.29,0.32,0.33,0.24,0.53,0.49,0.31,,Capitalization,22644,20536,25582,18177,28898,27210,23756,23447
Quick ratio,0.096,0.148,0.114,0.119,0.115,0.085,0.119,0.105,,,,,,,,,,
Capex/sales,0.017,0.020,0.011,0.017,0.017,0.025,0.016,0.010,,,,,,,,,,
ROA ,0.13,0.14,0.10,0.14,0.12,0.14,0.14,0.19,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,1,1,1,1,1,1,1,1,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,,,,,,,,,,
DDE,0,0,0,0,0,0,0,0,,,,,,,,,,
