Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,1785,1938,2192,2571,2843,3220,3056,3108
SIZE,7.49,7.57,7.69,7.85,7.95,8.08,8.02,8.04,,Foreign sales,1441,1756,2076,2457,2804,2956,3331,3490
Sales,3568,4101,4662,4930,5556,5828,6260,6519,,BV equity,1257,1367,1500,1493,1646,1657,1844,1837
FSD,1,1,1,1,1,1,1,1,,Cash,338,348,280,92,99,133,112,125
FSTS,0.40,0.43,0.45,0.50,0.50,0.51,0.53,0.54,,Gross nominal value,85,89,198,311,254,267.2,368,214
Hedging,,,,,,,,,,R&D expenses,0,0,0,0,0,0,0,0
Tobin's Q,5.77,5.37,3.25,2.80,3.32,2.43,2.46,2.18,,Total debt,0,0,0,274,271,562,30,0
FXD,1,1,1,1,1,1,1,1,,Capex,141,126,252,434,317,296,208,167
Gross FXD,85,89,198,311,254,267.2,368,214,,Net income,352,386,422,366,433,364,401,332
DERIV,0.05,0.05,0.09,0.12,0.09,0.08,0.12,0.07,,Short term liabilities,505,547,667,927,1006,1096,1017,1086
Controls,,,,,,,,,,No of shares (millions),65.6,65.6,65.6,65.1,64.4,63.9,63.7,63.4
R&D/sales,0,0,0,0,0,0,0,0,,Share price 31/12 (est = x cost of EQ - dividend),149,150,98,94,128,98,99,87
Leverage,0,0,0,0.18,0.16,0.34,0.02,0,,Capitalization,9774,9840,6429,6119,8243,6262,6306,5516
Quick ratio,0.67,0.64,0.42,0.10,0.10,0.12,0.11,0.12,,,,,,,,,,
Capex/sales,0.04,0.03,0.05,0.09,0.06,0.05,0.03,0.03,,,,,,,,,,
ROA ,0.20,0.20,0.19,0.14,0.15,0.11,0.13,0.11,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,-36,-19,6,10,19,-59,29,-34,,,,,,,,,,
DDE,0,0,1,1,1,0,1,0,,,,,,,,,,
