Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,5313,3514,3811,3489,3487,3681,3531,3695
SIZE,8.6,8.2,8.2,8.2,8.2,8.2,8.2,8.2,,Foreign sales,2945,3119,3752,3893,3659,3506,3384,3512
Sales,3762,3985,4099,4220,3971,3807,3669,3803,,BV equity,838,1416,1544,1789,1991,2082,1985,2099
FSD,1,1,1,1,1,1,1,1,,Cash,193,202,249,230,122,85,181,225
FSTS,0.78,0.78,0.92,0.92,0.92,0.92,0.92,0.92,,Gross nominal value,0,0,0,0,0,0,0,0
Hedging,,,,,,,,,,R&D expenses,6,13,23,29,25,30,26,19
Tobin's Q,1.28,1.27,0.90,1.28,1.27,1.12,1.22,1.49,,Total debt,2349,1092,1151,682,530,26,576,492
FXD,0,0,0,0,0,0,0,0,,Capex,0,21,7,7,10,14,14,13
Gross FXD,0,0,0,0,0,0,0,0,,Net income,66,571,197,336,306,261,126,267
DERIV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Short term liabilities,1821,787,887,802,755,1361,695,841
Controls,,,,,,,,,,No of shares (millions),,,,,,,,
R&D/sales,0.002,0.003,0.006,0.007,0.006,0.008,0.007,0.005,,Share price 31/12 (est = x cost of EQ - dividend),,,,,,,,
Leverage,2.80,0.77,0.75,0.38,0.27,0.01,0.29,0.23,,Capitalization,2350,2350,1170,2750,2940,2540,2770,3910
Quick ratio,0.11,0.26,0.28,0.29,0.16,0.06,0.26,0.27,,,,,,,,,,
Capex/sales,0,0.005,0.002,0.002,0.003,0.004,0.004,0.003,,,,,,,,,,
ROA ,0.012,0.162,0.052,0.096,0.088,0.071,0.036,0.072,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,,,,,,,,,,
DDE,0,0,0,0,0,0,0,0,,,,,,,,,,
