Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,66049,66089,73323,72696,73521,76384,75194,76001
SIZE,11.10,11.10,11.20,11.19,11.21,11.24,11.23,11.24,,Foreign sales,100333,100756,101102,105733,102973,97388,106145,105218
Sales,103848,104732,104792,109132,106326,101598,109994,109151,,BV equity,13194,16040,16385,18841,20613,17646,15726,14308
FSD,1,1,1,1,1,1,1,1,,Cash,5475,5546,7305,9537,10389,6966,6835,6607
FSTS,0.966,0.962,0.965,0.969,0.968,0.959,0.965,0.964,,Gross nominal value,25500,32813,34381,33430,35960,39230,45280,45790
Hedging,,,,,,,,,,R&D expenses,1393,1497,1548,1621,1993,2043,2613,2739
Tobin's Q,1.40,1.22,1.03,1.40,1.46,1.18,1.44,1.45,,Total debt,7495,11163,13946,14022,12096,14206,13088,14905
FXD,1,1,1,1,1,1,1,1,,Capex,,,,,,,,
Gross FXD,25500,32813,34381,33430,35960,39230,45280,45790,,Net income,2648,2925,366,2607,3997,2064,2365,672
DERIV,0.25,0.31,0.33,0.31,0.34,0.39,0.41,0.42,,Short term liabilities,36304,34148,35096,35178,35897,37563,39030,40785
Controls,,,,,,,,,,No of shares (millions),288.8,281,283.1,284,284.6,284.7,285.9,286.2
R&D/sales,0.013,0.014,0.015,0.015,0.019,0.020,0.024,0.025,,Share price 31/12 (est = x cost of EQ - dividend),137,108.5,66.75,167.5,191,109.7,170.5,168.5
Leverage,0.57,0.70,0.85,0.74,0.59,0.81,0.83,1.04,,Capitalization,39566,30489,18897,47570,54359,31232,48746,48225
Quick ratio,0.151,0.162,0.208,0.271,0.289,0.185,0.175,0.162,,,,,,,,,,
Capex/sales,0.03,0.033,0.03,0.02,0.03,0.031,0.037,0.032,,,,,,,,,,
ROA ,0.04,0.04,0.00,0.04,0.05,0.03,0.03,0.01,,,,,,,,,,
DD,1,1,0,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,-134,-69,21,-112,-117,111,34,41,,,,,,,,,,
DDE,0,0,1,0,0,1,1,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
