Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,18213,18467,16620,17192,10587,9789,8944,8158
SIZE,9.8,9.8,9.7,9.8,9.3,9.2,9.1,9.0,,Foreign sales,3600,3609,3792,3825,3089,2276,2120,1941
Sales,6372,6443,6645,6581,5326,4323,3999,3660,,BV equity,5120,4051,2197,6109,3469,3028,3543,3653
FSD,1,1,1,1,1,1,1,1,,Cash,478,605,319,350,450,557,198,113
FSTS,0.56,0.56,0.57,0.58,0.58,0.53,0.53,0.53,,Gross nominal value,0,0,0,0,0,0,0,0
Hedging,,,,,,,,,,R&D expenses,121,177,178,232,263,325,327,259
Tobin's Q,1.62,1.29,0.97,0.98,0.94,0.80,0.73,1.16,,Total debt,9044,10264,9948,6645,3951,3535,2704,2340
FXD,0,0,0,0,0,0,0,0,,Capex,146,150,220,101,65,34,23,38
Gross FXD,0,0,0,0,0,0,0,0,,Net income,1054,1305,-315,616,-4620,-184,241,232
DERIV,0,0,0,0,0,0,0,0,,Short term liabilities,2947,2775,3027,2739,2602,2560,2070,1762
Controls,,,,,,,,,,No of shares (millions),,,,,,,100.2,100.2
R&D/sales,0.02,0.03,0.03,0.04,0.05,0.08,0.08,0.07,,Share price 31/12 (est = x cost of EQ - dividend),,,,,,,11.05,49.59
Leverage,1.77,2.53,4.53,1.09,1.14,1.17,0.76,0.64,,Capitalization,16500,9400,1730,5800,2800,1100,1107,4969
Quick ratio,0.16,0.22,0.11,0.13,0.17,0.22,0.10,0.06,,,,,,,,,,
Capex/sales,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,,,,,,,,,,
ROA ,0.058,0.071,-0.019,0.036,-0.436,-0.019,0.027,0.028,,,,,,,,,,
DD,1,1,0,0,0,0,0,0,,,,,,,,,,
ID,1,1,1,1,1,1,1,1,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,,,,,,,,,,
DDE,0,0,0,0,0,0,0,0,,,,,,,,,,
