Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,214940,245117,285684,269809,281815,280349,274996,269190
SIZE,12.3,12.4,12.6,12.5,12.5,12.5,12.5,12.5,,Foreign sales,172012,179385,200054,202381,199111,223039,222746,222949
Sales,179821,187780,208930,206477,203348,226921,227779,227326,,BV equity,120113,134112,140823,139870,145106,143105,136883,140214
FSD,1,1,1,1,1,1,1,1,,Cash,62280,57716,75005,76724,87150,80542,76708,77089
FSTS,0.957,0.955,0.958,0.980,0.979,0.983,0.978,0.981,,Gross nominal value,10449,7933,34800,13328,12224,7368,12728,6497
Hedging,,,,,,,,,,R&D expenses,27533,28842,33584,33055,31558,32638,32833,32236
Tobin's Q,2.48,1.44,1.16,1.26,1.37,1.29,1.26,1.42,,Total debt,21552,33404,40354,40653,35855,41037,38170,39280
FXD,1,1,1,1,1,1,1,1,,Capex,3176,3180,3185,3194,3200,3211,3220,4503
Gross FXD,10449,7933,34800,13328,12224,7368,12728,6497,,Net income,26436,22135,11667,4127,11235,12569,5938,12174
DERIV,0.06,0.04,0.17,0.06,0.06,0.03,0.06,0.03,,Short term liabilities,23724,32389,39483,43295,38267,38050,39109,36223
Controls,,,,,,,,,,No of shares (millions),3174,3178,3183,3190,3197,3206,3216,3226
R&D/sales,0.15,0.15,0.16,0.16,0.16,0.14,0.14,0.14,,Share price 31/12 (est = x cost of EQ - dividend),138.25,75.9,58.8,65.9,78.15,70.4,65.1,78.5
Leverage,0.179,0.249,0.287,0.291,0.247,0.287,0.279,0.280,,Capitalization,438806,241210,187160,210221,249846,225702,209362,253241
Quick ratio,2.63,1.78,1.90,1.77,2.28,2.12,1.96,2.13,,,,,,,,,,
Capex/sales,0.018,0.017,0.015,0.015,0.016,0.014,0.014,0.020,,,,,,,,,,
ROA ,0.123,0.090,0.041,0.015,0.040,0.045,0.022,0.045,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,2209,-806,-3888,3493,592,-1032,-1008,-821,,,,,,,,,,
DDE,1,0,0,1,1,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
