Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,8509,8619,9926,9142,9883,8863,8610,8670
SIZE,9.0,9.1,9.2,9.1,9.2,9.1,9.1,9.1,,Foreign sales,14084,11743,13769,12320,13233,14299,14378,13648
Sales,17752,15437,15550,15781,16332,14455,14623,15573,,BV equity,3780,3740,2895,2699,2440,2714,3699,3598
FSD,1,1,1,1,1,1,1,1,,Cash,239,372,143,233,392,380,222,215
FSTS,0.79,0.76,0.89,0.78,0.81,0.99,0.98,0.88,,Gross nominal value,1976,1866,1473,3174,2166,1539,3260,2713
Hedging,,,,,,,,,,R&D expenses,0,0,0,0,0,0,0,0
Tobin's Q,1.58,1.13,1.28,1.99,1.85,1.69,1.18,1.78,,Total debt,3946,3088,3856,3929,3495,3447,3956,3908
FXD,1,1,1,1,1,1,1,1,,Capex,548,545,383,336,321,481,497,400
Gross FXD,1976,1866,1473,3174,2166,1539,3260,2713,,Net income,650,661,725,627,311,473,471,259
DERIV,0.11,0.12,0.09,0.20,0.13,0.11,0.22,0.17,,Short term liabilities,2227,2636,2580,2878,2280,2218,2813,2286
Controls,,,,,,,,,,No of shares (millions),,,,,,,,
R&D/sales,0,0,0,0,0,0,0,0,,Share price 31/12 (est = x cost of EQ - dividend),,,,,,,,
Leverage,1.04,0.83,1.33,1.46,1.43,1.27,1.07,1.09,,Capitalization,8723,4877,5648,11735,10806,8860,5208,10398
Quick ratio,0.107,0.141,0.055,0.081,0.172,0.171,0.079,0.094,,,,,,,,,,
Capex/sales,0.031,0.035,0.025,0.021,0.020,0.033,0.034,0.026,,,,,,,,,,
ROA ,0.076,0.077,0.073,0.069,0.031,0.053,0.055,0.030,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,1,1,1,1,1,1,1,1,,,,,,,,,,
DE,-79,-116,-107,94,-117,-30,64,-83,,,,,,,,,,
DDE,0,0,0,1,0,0,1,0,,,,,,,,,,
