Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,15877,22970,33032,37498,34585,41469,42921,44303
SIZE,9.67,10.04,10.41,10.53,10.45,10.63,10.67,10.70,,Foreign sales,12534,15896,18852,22412,21817,21412,23819,24823
Sales,13001,16445,19272,22816,22172,21854,24248,25287,,BV equity,6005,6805,10890,12726,13248,14636,15200,16560
FSD,1,1,1,1,1,1,1,1,,Cash,673,894,1506,1389,1093,1207,1254,1148
FSTS,0.964,0.967,0.978,0.982,0.984,0.980,0.982,0.982,,Gross nominal value,5664,7718,12193,12102,10619,11268,12144,11460
Hedging,,,,,,,,,,R&D expenses,282,335,497,539,441,540,598,619
Tobin's Q,2.57,2.23,1.24,1.43,1.59,1.65,1.87,1.81,,Total debt,4609,9455,13244,16052,12656,16689,17525,17169
FXD,1,1,1,1,1,1,1,1,,Capex,165,468,642,907,588,688,959,1004
Gross FXD,5664,7718,12193,12102,10619,11268,12144,11460,,Net income,1259,1233,1523,1914,2280,2537,2531,2295
DERIV,0.36,0.34,0.37,0.32,0.31,0.27,0.28,0.26,,Short term liabilities,3304,4439,5946,5442,6473,7528,10003,10140
Controls,,,,,,,,,,No of shares (millions),201.9,201.9,201.9,210.8,238.3,238.3,238.3,238.3
R&D/sales,0.022,0.020,0.026,0.024,0.020,0.025,0.025,0.024,,Share price 31/12 (est = x cost of EQ - dividend),153.5,173.5,93.5,136.3,140.9,174.4,220.0,220.0
Leverage,0.77,1.39,1.22,1.26,0.96,1.14,1.15,1.04,,Capitalization,30992,35030,18878,28732,33576,41560,52426,52426
Quick ratio,0.20,0.20,0.25,0.26,0.17,0.16,0.13,0.11,,,,,,,,,,
Capex/sales,0.013,0.028,0.033,0.040,0.027,0.031,0.040,0.040,,,,,,,,,,
ROA ,0.079,0.054,0.046,0.051,0.066,0.061,0.059,0.052,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,-58,-79,-806,1211,176,-722,-36,290,,,,,,,,,,
DDE,0,0,0,1,1,0,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
