Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,35555,41734,51243,54363,59182,60188,60173,65676
SIZE,10.48,10.64,10.84,10.90,10.99,11.01,11.00,11.09,,Foreign sales,63041,72558,82559,95070,101741,103295,114174,121910
Sales,68400,78346,88532,101393,108483,109999,120799,128562,,BV equity,27779,32093,36950,40613,44172,44104,43835,45248
FSD,1,1,1,1,1,1,1,1,,Cash,9877,16064,22726,19024,16691,14319,14148,13918
FSTS,0.92,0.93,0.93,0.94,0.94,0.94,0.95,0.95,,Outstanding derivatives/other financial receivables,3590,4479,24610,24636,21864,24103,25104,25953
Hedging,,,,,,,,,,R&D expenses,0,0,0,0,0,0,0,0
Tobin's Q,7.64,8.14,5.09,6.53,6.88,6.15,6.21,7.32,,Total debt,0,0,0,0,0,0,0,0
FXD,1,1,1,1,1,1,1,1,,Capex,1964,3522,185,102,100,119,6071,8010
Gross FXD,3590,4479,24610,24636,21864,24103,25104,25953,,Net income,10797,13588,15294,16384,18681,15821,16867,17152
DERIV,0.10,0.11,0.48,0.45,0.37,0.40,0.42,0.40,,Short term liabilities,6996,8834,11879,11090,13847,14757,14010,17397
Controls,,,,,,,,,,No of shares (millions),827.5,827.5,827.5,1655.1,1655.1,1655.1,1655.1,1655.1
R&D/sales,0,0,0,0,0,0,0,0,,Share price 31/12 (est = x cost of EQ - dividend),319,399,298,206.15,237,214,215.9,278
Leverage,0,0,0,0,0,0,0,0,,Capitalization,263972.5,330172.5,246595,341198.865,392258.7,354191.4,357336.09,460117.8
Quick ratio,1.41,1.82,1.91,1.72,1.21,0.97,1.01,0.80,,,,,,,,,,
Capex/sales,0.029,0.045,0.002,0.001,0.001,0.001,0.050,0.062,,,,,,,,,,
ROA ,0.30,0.33,0.30,0.30,0.32,0.26,0.28,0.26,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,-103,-41,72,-169,386,-113,-272,-61,,,,,,,,,,
DDE,0,0,1,0,1,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
