Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,158904,158787,105496,143261,180858,172980,197463,238521
SIZE,12.0,12.0,11.6,11.9,12.1,12.1,12.2,12.4,,Foreign sales,4103,4099,2459,1910,1488,10881,11698,13370
Sales,6958,7127,7352,5456,2943,14674,16849,18569,,BV equity,159320,155204,115233,142186,170051,156719,175106,215966
FSD,1,1,1,1,1,1,1,1,,Cash,5068,5010,9151,5804,2684,4312,7696,9783
FSTS,0.59,0.58,0.33,0.35,0.51,0.74,0.69,0.72,,Gross nominal value,13388,16236,14388,17032,24301,39243,36878,44448
Hedging,,,,,,,,,,R&D expenses,0,0,0,0,221,1334,1549,2795
Tobin's Q,0.80,0.72,0.74,0.71,0.66,0.65,0.76,0.79,,Total debt,18498,19300,22736,24146,42086,48845,47216,42906
FXD,1,1,1,1,1,1,1,1,,Capex,22693,25041,25321,30111,30036,37215,35144,32256
Gross FXD,13388,16236,14388,17032,24301,39243,36878,44448,,Net income,28468,-365,-36708,31379,30631,-9229,24226,45165
DERIV,0.08,0.10,0.14,0.12,0.13,0.23,0.19,0.19,,Short term liabilities,3040,2244,2924,3075,5770,7774,5660,4592
Controls,,,,,,,,,,No of shares (millions),,,,,,,,
R&D/sales,0,0,0,0,0.08,0.09,0.09,0.15,,Share price 31/12 (est = x cost of EQ - dividend),,,,,,,,
Leverage,0.12,0.12,0.20,0.17,0.25,0.31,0.27,0.20,,Capitalization,127950,111244,88066,100992,107907,96028,128048,166451
Quick ratio,1.67,2.23,3.13,1.89,0.47,0.55,1.36,2.13,,,,,,,,,,
Capex/sales,3.26,3.51,3.44,5.52,10.21,2.54,2.09,1.74,,,,,,,,,,
ROA ,0.18,0.00,-0.35,0.22,0.17,-0.05,0.12,0.19,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,1,1,1,1,1,1,1,1,,,,,,,,,,
DE,-409,-413,41,-357,209,-243,399,606,,,,,,,,,,
DDE,0,0,1,0,1,0,1,1,,,,,,,,,,
