Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,47733,62818,35871,53240,64833,70068,62632,67402
SIZE,10.8,11.0,10.5,10.9,11.1,11.2,11.0,11.1,,Foreign sales,799,805,1301,1704,2001,2410,2231,2099
Sales,6305,7673,7719,8397,8593,8789,8855,8880,,BV equity,34422,50267,23530,41675,54425,59687,58640,65319
FSD,1,1,1,1,1,1,1,1,,Cash,106,72,505,186,145,182,453,465
FSTS,0.13,0.10,0.17,0.20,0.23,0.27,0.25,0.24,,Gross nominal value,0,0,0,0,0,0,0,0
Hedging,,,,,,,,,,R&D expenses,74,58,58,49,76,76,53,105
Tobin's Q,0.91,0.82,0.80,0.77,0.75,0.68,0.66,1.26,,Total debt,10207,9511,9537,8836,7725,7230,3322,1251
FXD,0,0,0,0,0,0,0,0,,Capex,3926,530,441,535,1563,2892,7994,2088
Gross FXD,0,0,0,0,0,0,0,0,,Net income,11549,16179,-25762,16373,12664,5853,-2991,8429
DERIV,0,0,0,0,0,0,0,0,,Short term liabilities,2923,1698,2555,2173,1648,3830,2763,827
Controls,,,,,,,,,,No of shares (millions),,,,,,,,
R&D/sales,0.012,0.008,0.008,0.006,0.009,0.009,0.006,0.012,,Share price 31/12 (est = x cost of EQ - dividend),,,,,,,,
Leverage,0.297,0.189,0.405,0.212,0.142,0.121,0.057,0.019,,Capitalization,30358,38739,16410,29656,37971,37087,37503,82641
Quick ratio,0.04,0.04,0.20,0.09,0.09,0.05,0.16,0.56,,,,,,,,,,
Capex/sales,0.62,0.07,0.06,0.06,0.18,0.33,0.90,0.24,,,,,,,,,,
ROA ,0.24,0.26,-0.72,0.31,0.20,0.08,-0.05,0.13,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,1,1,1,1,1,1,1,1,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,,,,,,,,,,
DDE,0,0,0,0,0,0,0,0,,,,,,,,,,
