Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,17685,21053,25280,20998,17478,17319,22307,28492
SIZE,9.78,9.95,10.14,9.95,9.77,9.76,10.01,10.26,,Foreign sales,4326,5347,6182,6117,5742,7921,9187,7734
Sales,4414,5484,6393,6191,5794,8116,9318,7788,,BV equity,10568,11052,12827,8805,7180,6943,8466,8251
FSD,1,1,1,1,1,1,1,1,,Cash,297,483,449,550,350,477,660,604
FSTS,0.98,0.975,0.967,0.988,0.991,0.976,0.986,0.993,,Outstanding derivatives/other financial receivables,13456,11756,10987,4444,3909,5369,4700,5224
Hedging,,,,,,,,,,R&D expenses,0,0,0,0,0,0,0,0
Tobin's Q,1.7,1.5,1.0,1.4,2.1,3.6,2.7,2.1,,Total debt,1391,2740,4340,3973,3430,1484,2926,8304
FXD,1,1,1,1,1,1,1,1,,Capex,2801,4282,4096,3946,2698,4366,6292,11320
Gross FXD,13456,11756,10987,4444,3909,5369,4700,5224,,Net income,794,952,310,-3789,928,1005,704,475
DERIV,0.76,0.56,0.43,0.21,0.22,0.31,0.21,0.18,,Short term liabilities,1245,1767,2026,1832,1374,2613,2927,3207
Controls,,,,,,,,,,No of shares (millions),282.3,315.4,315.6,313.4,312.1,311,310.7,310
R&D/sales,0,0,0,0,0,0,0,0,,Share price 31/12 (est = x cost of EQ - dividend),79.5,67.5,41,56.6,83.65,169.2,149.5,125.4
Leverage,0.13,0.25,0.34,0.45,0.48,0.21,0.35,1.01,,Capitalization,22443,21290,12940,17738,26107,52621,46450,38874
Quick ratio,0.24,0.27,0.22,0.30,0.25,0.18,0.23,0.19,,,,,,,,,,
Capex/sales,0.63,0.78,0.64,0.64,0.47,0.54,0.68,1.45,,,,,,,,,,
ROA ,0.045,0.045,0.012,-0.180,0.053,0.058,0.032,0.017,,,,,,,,,,
DD,0,0,0,0,1,0,0,0,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,1790,1003,1524,-387,-320,-201,479,-259,,,,,,,,,,
DDE,1,1,1,0,0,0,1,0,,,,,,,,,,
,,,,,7.1954,6.4867,6.7725,6.5132,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
