Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,9205,10958,19232,14651,14002,11281,18366,20463
SIZE,9.13,9.30,9.86,9.59,9.55,9.33,9.82,9.93,,Foreign sales,8302,8565,11020,10151,10301,10058,10981,11236
Sales,10136,11351,13166,12427,13101,13473,13336,14129,,BV equity,5105,5875,8980,5381,5986,4128,4946,5136
FSD,1,1,1,1,1,1,1,1,,Cash,646,521,975,737,500,470,371,429
FSTS,0.82,0.75,0.84,0.82,0.79,0.75,0.82,0.80,,Outstanding derivatives/other financial receivables,1700,2340,4800,3999,3765,2202,4900,4678
Hedging,,,,,,,,,,R&D expenses,0,0,0,0,0,0,0,0
Tobin's Q,3.72,3.22,1.11,2.23,2.68,2.54,1.57,1.83,,Total debt,265,515,4705,3563,2768,1575,1024,1874
FXD,1,1,1,1,1,1,1,1,,Capex,343,327,165,159,157,120,144,319
Gross FXD,1700,2340,4800,3999,3765,2202,4900,4678,,Net income,1499,1428,2927,1858,2424,2567,2124,1885
DERIV,0.18,0.21,0.25,0.27,0.27,0.20,0.27,0.23,,Short term liabilities,3796,4654,4989,4796,4452,4763,4808,6080
Controls,,,,,,,,,,No of shares (millions),67,67,66,66,66,66,67,67
R&D/sales,0,0,0,0,0,0,0,0,,Share price 31/12 (est = x cost of EQ - dividend),450,451,168,355,447,326,229,331
Leverage,0.05,0.09,0.52,0.66,0.46,0.38,0.21,0.36,,Capitalization,30168,30189,11102,23454,29521,21547,15329,22198
Quick ratio,0.170,0.112,0.195,0.154,0.112,0.099,0.077,0.071,,,,,,,,,,
Capex/sales,0.034,0.029,0.013,0.013,0.012,0.009,0.011,0.023,,,,,,,,,,
ROA ,0.163,0.130,0.152,0.127,0.173,0.228,0.116,0.092,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,-454,-625,-708,-325,-1696,-1415,-2112,-2506,,,,,,,,,,
DDE,0,0,0,0,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
