Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,1710,1507,1881,1408,714,1586,1472,1402
SIZE,7.44,7.32,7.54,7.25,6.57,7.37,7.29,7.25,,Foreign sales,1203,520,1194,1047,1258,1164,1325,977
Sales,1204,523,1194,1052,1288,1197,1354,997,,BV equity,1110,908,1213,1047,1315,1231,1168,1166
FSD,1,1,1,1,1,1,1,1,,Cash,628,451,392,277,583,536,581,487
FSTS,1.00,0.99,1.00,1.00,0.98,0.97,0.98,0.98,,Gross nominal value,571,451,227,421,375,440,221,130
Hedging,,,,,,,,,,R&D expenses,249.1,279,269.4,303.1,318.1,289,290,183.4
Tobin's Q,2.12,1.24,0.48,0.92,1.59,0.96,0.89,1.03,,Total debt,295.7,246.5,163.6,18.7,12.3,6.9,2.3,0
FXD,1,1,1,1,1,1,1,1,,Capex,32.4,34.1,86.4,3,2.9,9.1,0,31.4
Gross FXD,571,451,227,421,375,440,221,130,,Net income,93,-288,-130,-182,73.7,-57,-14.6,35.9
DERIV,0.47,0.86,0.19,0.40,0.29,0.37,0.16,0.13,,Short term liabilities,332,392,310,305,369,329,284,219
Controls,,,,,,,,,,No of shares (millions),39.2,39.2,39.2,65.3,97.9,97.9,97.9,97.9
R&D/sales,0.21,0.53,0.23,0.29,0.25,0.24,0.21,0.18,,Share price 31/12 (est = x cost of EQ - dividend),77,32.2,5.8,14.3,17.7,11.95,10.25,12.4
Leverage,0.266,0.271,0.135,0.018,0.009,0.006,0.002,0.000,,Capitalization,3018.4,1262.24,227.36,933.79,1732.83,1169.905,1003.475,1213.96
Quick ratio,1.89,1.15,1.26,0.91,1.58,1.63,2.05,2.22,,,,,,,,,,
Capex/sales,0.03,0.07,0.07,0.00,0.00,0.01,0.00,0.03,,,,,,,,,,
ROA ,0.054,-0.191,-0.069,-0.129,0.103,-0.036,-0.010,0.026,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,1,1,1,1,1,1,1,1,,,,,,,,,,
DE,-13,-11,7,-6,-4,6,-19,-17,,,,,,,,,,
DDE,0,0,1,0,0,1,0,0,,,,,,,,,,
