Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,133544,145050,158968,149859,142978,139004,131531,142272
SIZE,11.8,11.9,12.0,11.9,11.9,11.8,11.8,11.9,,Foreign sales,94167,98115,103140,103806,74866,73893,79821,83328
Sales,101439,105913,110449,109358,82731,81337,85408,89019,,BV equity,58299,63590,66450,67156,67255,60752,59706,63271
FSD,1,1,1,1,1,1,1,1,,Cash,1599,3023,5738,5148,1866,2644,2017,3649
FSTS,0.93,0.93,0.93,0.95,0.90,0.91,0.93,0.94,,Gross nominal value,24625,21180,22636,26794,25051,29626,24789,26738
Hedging,,,,,,,,,,R&D expenses,562,595,612,738,713,832,845,998
Tobin's Q,1.19,1.12,0.88,1.00,1.05,1.08,1.30,1.54,,Total debt,38601,42323,52886,44766,37297,37834,34727,38858
FXD,1,1,1,1,1,1,1,1,,Capex,6607,5968,6353,5837,5017,5050,4961,5227
Gross FXD,24625,21180,22636,26794,25051,29626,24789,26738,,Net income,5467,7161,5598,4830,5592,607,5000,5564
DERIV,0.24,0.20,0.20,0.25,0.30,0.36,0.29,0.30,,Short term liabilities,43332,46192,38708,37597,36999,28893,32627,33960
Controls,,,,,,,,,,No of shares (millions),705.1,705.1,705.1,705.1,705.1,705.1,705.1,705.1
R&D/sales,0.0055,0.0056,0.0055,0.0067,0.0086,0.0102,0.0099,0.0112,,Share price 31/12 (est = x cost of EQ - dividend),119.17,114.5,66.75,95.45,106.2,102,141,198
Leverage,0.66,0.67,0.80,0.67,0.55,0.62,0.58,0.61,,Capitalization,84027,80734,47065,67302,74882,71920,99419,139610
Quick ratio,0.04,0.07,0.15,0.14,0.05,0.09,0.06,0.11,,,,,,,,,,
Capex/sales,0.065,0.056,0.058,0.053,0.061,0.062,0.058,0.059,,,,,,,,,,
ROA ,0.041,0.049,0.035,0.032,0.039,0.004,0.038,0.039,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,-333,-268,504,1498,5105,-713,641,-471,,,,,,,,,,
DDE,0,0,1,1,1,0,1,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
