Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,46638,47102,56100,51015,54401,59374,60757,70991
SIZE,10.75,10.76,10.93,10.84,10.90,10.99,11.01,11.17,,Foreign sales,51999,55637,61152,54648,59129,64064,62852,61845
Sales,53101,58559,63361,56227,61029,66216,64575,63597,,BV equity,19706,19009,19689,18280,19894,22455,22468,21152
FSD,1,1,1,1,1,1,1,1,,Cash,7242,2946,2793,4430,2395,4825,8244,5369
FSTS,0.979,0.950,0.965,0.972,0.969,0.968,0.973,0.972,,Outstanding derivatives/other financial receivables,5190,6100,4890,5044,8932,8744,8015,7821
Hedging,,,,,,,,,,R&D expenses,875,900,1175,1217,1184,1481,1607,1840
Tobin's Q,1.68,1.61,1.28,1.74,2.24,1.74,1.85,1.78,,Total debt,12754,13015,18549,14994,16651,18311,19864,26084
FXD,1,1,1,1,1,1,1,1,,Capex,1933,1907,2531,1975,1651,1839,1968,1746
Gross FXD,5190,6100,4890,5044,8932,8744,8015,7821,,Net income,4432,4767,4741,1705,5296,6224,4816,1044
DERIV,0.11,0.13,0.09,0.10,0.16,0.15,0.13,0.11,,Short term liabilities,12045,12832,14298,14375,13633,13245,13903,16741
Controls,,,,,,,,,,No of shares (millions),455.3,455.3,455.3,455.3,455.3,455.3,455.3,455.3
R&D/sales,0.016,0.015,0.019,0.022,0.019,0.022,0.025,0.029,,Share price 31/12 (est = x cost of EQ - dividend),113.22,104.79,77.25,123.6,191.6,145.6,163.2,168.7
Leverage,0.65,0.68,0.94,0.82,0.84,0.82,0.88,1.23,,Capitalization,51549,47711,35172,56275,87235,66292,74305,76809
Quick ratio,0.60,0.23,0.20,0.31,0.18,0.36,0.59,0.32,,,,,,,,,,
Capex/sales,0.036,0.033,0.040,0.035,0.027,0.028,0.030,0.027,,,,,,,,,,
ROA ,0.095,0.101,0.085,0.033,0.097,0.105,0.079,0.015,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,1,1,1,1,1,1,1,1,,,,,,,,,,
DE,-3765,2456,-2259,-888,-616,-1336,144,-39,,,,,,,,,,
DDE,0,0,0,0,0,0,1,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
