Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,65901,85435,41899,47716,89999,98530,104055,93882
SIZE,11.10,11.36,10.64,10.77,11.41,11.50,11.55,11.45,,Foreign sales,69969,84121,87901,68581,78835,89851,94709,83912
Sales,72289,86338,92654,71937,82654,94084,98529,87328,,BV equity,27198,29823,36725,29957,33813,31264,32536,33610
FSD,1,1,1,1,1,1,1,1,,Cash,1745,2006,4998,7506,4783,5592,13829,5076
FSTS,0.968,0.974,0.949,0.953,0.954,0.955,0.961,0.961,,Gross nominal value,9958,11000,5150,5900,6300,8456,9500,7310
Hedging,,,,,,,,,,R&D expenses,1583,1818,2014,2007,2106,2421,1281,1343
Tobin's Q,2.39,2.19,1.51,2.51,2.35,1.69,1.93,1.85,,Total debt,18555,31946,22239,28765,29467,35530,40998,35424
FXD,1,1,1,1,1,1,1,1,,Capex,4175,4811,6634,4006,3378,4994,4820,4185
Gross FXD,9958,11000,5150,5900,6300,8456,9500,7310,,Net income,8107,9594,7836,-2596,6943,5861,8107,5008
DERIV,0.15,0.13,0.12,0.12,0.07,0.09,0.09,0.08,,Short term liabilities,24146,28759,14953,13789,24633,25180,24101,21585
Controls,,,,,,,,,,No of shares (millions),1186.3,1186.3,1186.3,1186.3,1186.3,1186.3,1245.9,1254.4
R&D/sales,0.022,0.021,0.022,0.028,0.025,0.026,0.013,0.015,,Share price 31/12 (est = x cost of EQ - dividend),100,111,49,86,131,84,103.5,90.7
Leverage,0.68,1.07,0.61,0.96,0.87,1.14,1.26,1.05,,Capitalization,118630,131679,58129,102022,155405,99649,128951,113774
Quick ratio,0.072,0.070,0.334,0.544,0.194,0.222,0.574,0.235,,,,,,,,,,
Capex/sales,0.058,0.056,0.072,0.056,0.041,0.053,0.049,0.048,,,,,,,,,,
ROA ,0.123,0.112,0.187,-0.054,0.077,0.059,0.078,0.053,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,-1024,785,-457,399,453,-458,140,-205,,,,,,,,,,
DDE,0,1,0,1,1,0,1,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
