Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,35720,39185,35718,32796,32884,36665,38457,37237
SIZE,10.48,10.58,10.48,10.40,10.40,10.51,10.56,10.53,,Foreign sales,55955,57859,52957,58853,57302,59924,62232,61477
Sales,60523,62907,56571,62666,61339,64057,66458,65700,,BV equity,9602,8812,8501,8812,8935,9204,8588,9365
FSD,1,1,1,1,1,1,1,1,,Cash,1668,4351,3952,2497,2587,2507,4880,4049
FSTS,0.92,0.92,0.94,0.94,0.93,0.94,0.94,0.94,,Gross nominal value,4890,4589,1666,1646,2001,2105,1386,1754
Hedging,,,,,,,,,,R&D expenses,0,0,0,0,0,0,0,0
Tobin's Q,1.66,1.48,1.42,1.51,1.60,1.34,1.31,1.42,,Total debt,11945,9735,9878,9412,8387,8208,10348,9864
FXD,1,1,1,1,1,1,1,1,,Capex,666.7,838.1,977,950.7,901.9,1009.8,1039.2,804
Gross FXD,4890,4589,1666,1646,2001,2105,1386,1754,,Net income,852,526,2321,2118,2080,1708,1174,1856
DERIV,0.137,0.117,0.047,0.050,0.061,0.057,0.036,0.047,,Short term liabilities,17305,20036,17050,12797,13897,15229,17459,13395
Controls,,,,,,,,,,No of shares (millions),376.2,369.4,365.1,365.1,365.1,365.1,365.1,365.1
R&D/sales,0,0,0,0,0,0,0,0,,Share price 31/12 (est = x cost of EQ - dividend),88,75,64,70.05,78.65,59.4,56.7,68.35
Leverage,1.24,1.10,1.16,1.07,0.94,0.89,1.20,1.05,,Capitalization,33106,27705,23366,25575,28715,21687,20701,24955
Quick ratio,0.10,0.22,0.23,0.20,0.19,0.16,0.28,0.30,,,,,,,,,,
Capex/sales,0.011,0.013,0.017,0.015,0.015,0.016,0.016,0.012,,,,,,,,,,
ROA ,0.024,0.013,0.065,0.065,0.063,0.047,0.031,0.050,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,-341,54.3,-263,311.7,414.2,39.3,-2.8,-197.4,,,,,,,,,,
DDE,0,1,0,1,1,1,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
