Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,71307,78941,86869,83765,77712,82770,69715,87532
SIZE,11.17,11.28,11.37,11.34,11.26,11.32,11.15,11.38,,Foreign sales,94587,102139,109234,111826,93972,88219,98290,102921
Sales,125603,138781,143674,139124,122224,118734,129350,136488,,BV equity,19337,20724,18553,20167,20792,19583,19353,21339
FSD,1,1,1,1,1,1,1,1,,Cash,10970,14209,7881,9409,6654,5309,5770,7271
FSTS,0.75,0.74,0.76,0.80,0.77,0.74,0.76,0.75,,Outstanding derivatives/other financial receivables,4939,5234,6204,11456,12133,10796,9785,6698
Hedging,,,,,,,,,,R&D expenses,72,75,70,58,43,42,114,210
Tobin's Q,1.52,1.38,1.16,1.36,1.44,1.33,1.35,1.37,,Total debt,15441,19415,13454,15770,14845,13510,13212,14965
FXD,1,1,1,1,1,1,1,1,,Capex,2014,1966,2536,1718,2020,2206,2568,2190
Gross FXD,4939,5234,6204,11456,12133,10796,9785,6698,,Net income,3655,4121,3157,4221,4028,7595,2861,3769
DERIV,0.069,0.066,0.071,0.137,0.156,0.130,0.140,0.077,,Short term liabilities,45364,53948,62425,57879,52932,57151,59385,55273
Controls,,,,,,,,,,No of shares (millions),,,,,,,,
R&D/sales,0.00057,0.00054,0.00049,0.00042,0.00035,0.00035,0.00088,0.00154,,Share price 31/12 (est = x cost of EQ - dividend),,,,,,,,
Leverage,0.80,0.94,0.73,0.78,0.71,0.69,0.68,0.70,,Capitalization,56500,51100,32200,50200,54800,46900,43700,54000
Quick ratio,0.24,0.26,0.13,0.16,0.13,0.09,0.10,0.13,,,,,,,,,,
Capex/sales,0.016,0.014,0.018,0.012,0.017,0.019,0.020,0.016,,,,,,,,,,
ROA ,0.051,0.052,0.036,0.050,0.052,0.092,0.041,0.043,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,756,-1345,-456,-391,490,-1220,78,727,,,,,,,,,,
DDE,1,0,0,0,1,0,1,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
