Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,2051,2438,3013,3151,2988,3257,4647,6014
SIZE,7.6,7.8,8.0,8.1,8.0,8.1,8.4,8.7,,Foreign sales,1938,2399,2532,2698,2298,2589,3586,3471
Sales,3895,4570,5529,5339,5272,5988,7503,8199,,BV equity,836,950,1415,1596,1430,1504,1674,1618
FSD,1,1,1,1,1,1,1,1,,Cash,256,192,321,557,377,220,367,321
FSTS,0.50,0.52,0.46,0.51,0.44,0.43,0.48,0.42,,Gross nominal value,0,0,0,0,0,0,0,0
Hedging,,,,,,,,,,R&D expenses,0,0,0,0,0,0,0,0
Tobin's Q,2.75,2.91,1.60,2.07,2.33,2.15,2.07,2.34,,Total debt,106,210,161,139,137,79,776,1642
FXD,0,0,0,0,0,0,0,0,,Capex,80,98,127,88,80,122,156,122
Gross FXD,0,0,0,0,0,0,0,0,,Net income,258,303,403,295,300,375,458,380
DERIV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Short term liabilities,1107,1390,1464,1429,1408,1561,2140,2743
Controls,,,,,,,,,,No of shares (millions),,,,,,,,
R&D/sales,0,0,0,0,0,0,0,0,,Share price 31/12 (est = x cost of EQ - dividend),,,,,,,,
Leverage,0.13,0.22,0.11,0.09,0.10,0.05,0.46,1.01,,Capitalization,4422,5599,3211,4963,5394,5258,6653,9663
Quick ratio,0.23,0.14,0.22,0.39,0.27,0.14,0.17,0.12,,,,,,,,,,
Capex/sales,0.021,0.021,0.023,0.016,0.015,0.020,0.021,0.015,,,,,,,,,,
ROA ,0.126,0.124,0.134,0.094,0.100,0.115,0.099,0.063,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,,,,,,,,,,
DDE,0,0,0,0,0,0,0,0,,,,,,,,,,
