Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,15670,16467,18355,16337,14739,14507,14371,14881
SIZE,9.66,9.71,9.82,9.70,9.60,9.58,9.57,9.61,,Foreign sales,7499,7346,7770,8925,7923,5353,5763,5582
Sales,12273,11970,12611,14204,13606,11666,12486,12610,,BV equity,8253,22182,22148,23229,21578,19525,21230,22192
FSD,1,1,1,1,1,1,1,1,,Cash,3042,3439,3178,2530,3275,2533,2824,3164
FSTS,0.61,0.61,0.62,0.63,0.58,0.46,0.46,0.44,,Gross nominal value,5201,7336,7336,6936,7081,6846,6104,5931
Hedging,,,,,,,,,,R&D expenses,95,82,88,96,96,80,99,99
Tobin's Q,2.71,2.05,1.31,1.80,2.37,3.09,2.55,2.27,,Total debt,8691,10564,8756,9746,10958,11307,12005,9452
FXD,1,1,1,1,1,1,1,1,,Capex,290,523,319,471,311,245,251,306
Gross FXD,5201,7336,7336,6936,7081,6846,6104,5931,,Net income,2335,2056,2261,3146,2958,2538,2907,2711
DERIV,0.42,0.61,0.58,0.49,0.52,0.59,0.49,0.47,,Short term liabilities,3965,5117,4381,4440,3485,4714,4305,3774
Controls,,,,,,,,,,No of shares (millions),,,,,,,,
R&D/sales,0.0077,0.0069,0.0070,0.0068,0.0071,0.0069,0.0079,0.0079,,Share price 31/12 (est = x cost of EQ - dividend),,,,,,,,
Leverage,1.05,0.48,0.40,0.42,0.51,0.58,0.57,0.43,,Capitalization,35100,39500,27800,36300,41800,49900,43500,41100
Quick ratio,0.77,0.67,0.73,0.57,0.94,0.54,0.66,0.84,,,,,,,,,,
Capex/sales,0.024,0.044,0.025,0.033,0.023,0.021,0.020,0.024,,,,,,,,,,
ROA ,0.15,0.12,0.12,0.19,0.20,0.17,0.20,0.18,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,-109,-351,-184,66,34,-22,-16,-28,,,,,,,,,,
DDE,0,0,0,1,1,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
