Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,66164,48648,47133,43005,42085,46864,49189,39855
SIZE,11.10,10.79,10.76,10.67,10.65,10.76,10.80,10.59,,Foreign sales,27417,27832,26899,27855,27874,27837,18039,17411
Sales,38530,38930,38272,32296,30443,29538,30742,29871,,BV equity,29123,26849,28201,28823,28875,21452,20429,21591
FSD,1,1,1,1,1,1,1,1,,Cash,2459,2619,1312,1250,976,834,1348,1673
FSTS,0.71,0.71,0.70,0.86,0.92,0.94,0.59,0.58,,Gross nominal value,14325,11536,3580,1400,1198,12295,14898,6837
Hedging,,,,,,,,,,R&D expenses,0,0,0,0,0,0,0,0
Tobin's Q,1.23,1.64,1.05,1.46,1.78,1.82,1.65,1.28,,Total debt,17105,7306,9485,3249,2626,14190,16953,8751
FXD,1,1,1,1,1,1,1,1,,Capex,5365,5198,4623,4846,4094,6095,5294,5534
Gross FXD,14325,11536,3580,1400,1198,12295,14898,6837,,Net income,-235,-190,1715,3446,4121,2056,976,655
DERIV,0.22,0.24,0.08,0.03,0.03,0.26,0.30,0.17,,Short term liabilities,15202,21131,7995,16013,10975,8951,11488,14587
Controls,,,,,,,,,,No of shares (millions),444.5,449,443.9,441.3,443,446.1,447.2,448.2
R&D/sales,0,0,0,0,0,0,0,0,,Share price 31/12 (est = x cost of EQ - dividend),100,129.5,69,110.2,139.6,133.9,117.1,72.85
Leverage,0.59,0.27,0.34,0.11,0.09,0.66,0.83,0.41,,Capitalization,44450,58146,30629,48631,61843,59733,52367,32651
Quick ratio,0.16,0.12,0.16,0.08,0.09,0.09,0.12,0.11,,,,,,,,,,
Capex/sales,0.14,0.13,0.12,0.15,0.13,0.21,0.17,0.19,,,,,,,,,,
ROA ,-0.004,-0.004,0.036,0.080,0.098,0.044,0.020,0.016,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,-4321,-3146,2813,-2079,-4300,-233,1479,2028,,,,,,,,,,
DDE,0,0,1,0,0,0,1,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
