Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,199392,216702,264286,269670,250551,252883,253046,252828
SIZE,12.20,12.29,12.48,12.50,12.43,12.44,12.44,12.44,,Foreign sales,54763,60298,67695,72838,70287,68295,68183,66115
Sales,91060,96344,103585,109550,106979,104804,104898,101700,,BV equity,127717,127057,141448,142499,132665,122871,109106,112934
FSD,1,1,1,1,1,1,1,1,,Cash,11603,7802,11826,22488,15344,12600,29805,31721
FSTS,0.601,0.626,0.654,0.665,0.657,0.652,0.650,0.650,,Gross nominal value,19827,20231,6149,7900,10905,9990,7281,7233
Hedging,,,,,,,,,,R&D expenses,1837,1732,1178,1008,801,508,382,294
Tobin's Q,1.63,1.67,1.13,1.33,1.43,1.32,1.32,1.47,,Total debt,27729,43579,65799,71833,65436,79842,91587,90723
FXD,1,1,1,1,1,1,1,1,,Capex,11101,13531,15795,14007,14934,17384,15685,16332
Gross FXD,19827,20231,6149,7900,10905,9990,7281,7233,,Net income,19283,20298,21442,21280,23562,21119,21168,16767
DERIV,0.099,0.093,0.023,0.029,0.044,0.040,0.029,0.029,,Short term liabilities,30347,29501,41501,36293,32500,36168,35531,36668
Controls,,,,,,,,,,No of shares (millions),4490.5,4490.5,4490.5,4490.5,4490.5,4367,4330.1,4330.1
R&D/sales,0.0202,0.0180,0.0114,0.0092,0.0075,0.0048,0.0036,0.0029,,Share price 31/12 (est = x cost of EQ - dividend),56.25,60.5,38.9,51.85,53.3,46.77,44.06,53.55
Leverage,0.22,0.34,0.47,0.50,0.49,0.65,0.84,0.80,,Capitalization,252591,271675,174680,232832,239344,204245,190784,231877
Quick ratio,0.38,0.26,0.28,0.62,0.47,0.35,0.84,0.87,,,,,,,,,,
Capex/sales,0.12,0.14,0.15,0.13,0.14,0.17,0.15,0.16,,,,,,,,,,
ROA ,0.097,0.094,0.081,0.079,0.094,0.084,0.084,0.066,,,,,,,,,,
DD,1,1,1,1,1,1,1,1,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,,,,,,,,,,
DE,-561,-379,-331,89,63,-118,28,334,,,,,,,,,,
DDE,0,0,0,1,1,0,1,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
