Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,258427,321647,372419,332265,318004,353245,339165,344829
SIZE,12.46,12.68,12.83,12.71,12.67,12.77,12.73,12.75,,Foreign sales,245030,271418,290743,207949,252286,296259,288277,263746
Sales,258835,285405,305113,218469,264715,310348,300410,272766,,BV equity,87188,75129,75046,58485,66101,76682,78321,68467
FSD,1,1,1,1,1,1,1,1,,Cash,29907,30026,22575,37404,31491,35951,27146,28230
FSTS,0.947,0.951,0.953,0.952,0.953,0.955,0.960,0.967,,Gross nominal value,123253,40800,53789,18150,15362,26666,47796,25425
Hedging,,,,,,,,,,R&D expenses,8354,11059,14348,13193,12970,13276,14794,16281
Tobin's Q,0.80,1.45,1.03,1.20,1.55,1.22,1.30,1.30,,Total debt,75648,118093,157432,164903,131205,137150,150368,147323
FXD,1,1,1,1,1,1,1,1,,Capex,14034,14938,18292,14573,15186,20099,24685,20672
Gross FXD,123253,40800,53789,18150,15362,26666,47796,25425,,Net income,16318,15028,10016,-14685,11212,18115,11258,3802
DERIV,0.48,0.14,0.18,0.08,0.06,0.09,0.16,0.09,,Short term liabilities,96119,130279,155257,122581,124059,143679,129480,140316
Controls,,,,,,,,,,No of shares (millions),404.7,2025,2027,2027,2027,2027,2028,2028
R&D/sales,0.0323,0.0387,0.0470,0.0604,0.0490,0.0428,0.0492,0.0597,,Share price 31/12 (est = x cost of EQ - dividend),90.70,108.5,42.9,61.45,118.5,75.3,88.8,84.45
Leverage,0.87,1.57,2.10,2.82,1.98,1.79,1.92,2.15,,Capitalization,36706,219713,86958,124559,240200,152633,180086,171265
Quick ratio,0.31,0.23,0.15,0.31,0.25,0.25,0.21,0.20,,,,,,,,,,
Capex/sales,0.05,0.05,0.06,0.07,0.06,0.06,0.08,0.08,,,,,,,,,,
ROA ,0.063,0.047,0.027,-0.044,0.035,0.051,0.033,0.011,,,,,,,,,,
DD,1,1,1,0,1,1,1,1,,,,,,,,,,
ID,1,1,1,1,1,1,1,1,,,,,,,,,,
DE,1364,202,-1077,-392,-351,25,223,274,,,,,,,,,,
DDE,1,1,-1,-1,-1,1,1,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
