Year/indexes,2006,2007,2008,2009,2010,2011,2012,2013,,,2006,2007,2008,2009,2010,2011,2012,2013
Characteristics,,,,,,,,,,Total Assets,,,,,,,,
SIZE,,,,,,,,,,Foreign sales,,,,,,,,
Sales,,,,,,,,,,BV equity,,,,,,,,
FSD,,,,,,,,,,Cash,,,,,,,,
FSTS,,,,,,,,,,Outstanding derivatives/other financial receivables,,,,,,,,
Hedging,,,,,,,,,,R&D expenses,,,,,,,,
Tobin's Q,,,,,,,,,,Total debt,,,,,,,,
FXD,,,,,,,,,,Capex,,,,,,,,
Gross FXD,,,,,,,,,,Net income,,,,,,,,
DERIV,,,,,,,,,,Short term liabilities,,,,,,,,
Controls,,,,,,,,,,No of shares (millions),,,,,,,,
R&D/sales,,,,,,,,,,Share price 31/12 (est = x cost of EQ - dividend),,,,,,,,
Leverage,,,,,,,,,,Capitalization,,,,,,,,
Quick ratio,,,,,,,,,,,,,,,,,,
Capex/sales,,,,,,,,,,,,,,,,,,
ROA ,,,,,,,,,,,,,,,,,,
DD,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,
DE,,,,,,,,,,,,,,,,,,
DDE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
