Measure,Mean,Median,SD,MIN,MAX,Observations,,,
SIZE,"9,60440625","9,81","1,9076352832","4,09","12,83",320,,,
Sales,"41222,7721875","14092,5","59488,1688920408","10,8",310348,320,,,
FSD,1,1,0,1,1,320,,,
FSTS,"0,7242276869","0,795","0,2509143582","0,1",1,320,,,
Tobin's Q,"2,09178125","1,5","2,0596564256","0,48","22,81",320,,,
FXD,"0,675",1,"0,4691084053",0,1,320,,,
Gross FXD,"6763,6703125","1988,5","11849,0612508987",0,123253,320,,,
DERIV,"0,22628125","0,08","0,6203090409",0,"8,26",320,,,
R&D/sales,"0,235052375","0,00685","1,780370457",0,"19,63",320,,*,
Leverage,"0,6218375","0,49","0,6344762892",0,"5,98",320,,*,
Quick ratio,"0,5970125","0,22","1,017450363",0,"10,4",320,,,
Capex/sales,"0,4132125","0,03","3,1451337132",0,"53,36",320,,*,
ROA ,"0,0688684375","0,07","0,123467109","-0,72","0,64",320,,,
DD,"0,89375",1,"0,3086399532",0,1,320,,*,286
ID,"0,275",0,"0,4472135955",0,1,320,,*,88
DE,"-72,4178125",0,"1055,3244843348",-5025,6200,320,,,
DDE,"0,26875",0,"0,4647023519",-1,1,320,,*,86
Tobin's Q (ln),"0,5216813098","0,4054651081","0,5759662583","-0,7339691751","3,1271990363",320,,,
