"Data_point","company","year","value"
"SIZE","AAK","2006",8.84
"Sales","AAK","2006",10929
"FSD","AAK","2006",1
"FSTS","AAK","2006",0.87
"Tobin's Q","AAK","2006",1.85
"FXD","AAK","2006",1
"Gross FXD","AAK","2006",1384
"DERIV","AAK","2006",0.13
"R&D/sales","AAK","2006",0.01
"Leverage","AAK","2006",1.36
"Quick ratio","AAK","2006",0.068
"Capex/sales","AAK","2006",0.046
"ROA ","AAK","2006",0.026
"DD","AAK","2006",1
"ID","AAK","2006",0
"DE","AAK","2006",-203
"DDE","AAK","2006",0
"SIZE","Active Biotech","2006",6.14
"Sales","Active Biotech","2006",66.4
"FSD","Active Biotech","2006",1
"FSTS","Active Biotech","2006",0.29
"Tobin's Q","Active Biotech","2006",7.75
"FXD","Active Biotech","2006",0
"Gross FXD","Active Biotech","2006",0
"DERIV","Active Biotech","2006",0
"R&D/sales","Active Biotech","2006",2.5
"Leverage","Active Biotech","2006",5.98
"Quick ratio","Active Biotech","2006",0.67
"Capex/sales","Active Biotech","2006",0.5
"ROA ","Active Biotech","2006",-0.3
"DD","Active Biotech","2006",0
"ID","Active Biotech","2006",0
"DE","Active Biotech","2006",0
"DDE","Active Biotech","2006",0
"SIZE","Alfa Laval","2006",9.84
"Sales","Alfa Laval","2006",19802
"FSD","Alfa Laval","2006",1
"FSTS","Alfa Laval","2006",0.96
"Tobin's Q","Alfa Laval","2006",1.1
"FXD","Alfa Laval","2006",1
"Gross FXD","Alfa Laval","2006",6379
"DERIV","Alfa Laval","2006",0.32
"R&D/sales","Alfa Laval","2006",0.027
"Leverage","Alfa Laval","2006",0.32
"Quick ratio","Alfa Laval","2006",0.081
"Capex/sales","Alfa Laval","2006",0.019
"ROA ","Alfa Laval","2006",0.092
"DD","Alfa Laval","2006",1
"ID","Alfa Laval","2006",0
"DE","Alfa Laval","2006",-448
"DDE","Alfa Laval","2006",0
"SIZE","Arcam","2006",4.23
"Sales","Arcam","2006",47.3
"FSD","Arcam","2006",1
"FSTS","Arcam","2006",0.27
"Tobin's Q","Arcam","2006",1.24
"FXD","Arcam","2006",0
"Gross FXD","Arcam","2006",0
"DERIV","Arcam","2006",0
"R&D/sales","Arcam","2006",0.298
"Leverage","Arcam","2006",0
"Quick ratio","Arcam","2006",0.9
"Capex/sales","Arcam","2006",0.173
"ROA ","Arcam","2006",-0.126
"DD","Arcam","2006",0
"ID","Arcam","2006",0
"DE","Arcam","2006",0
"DDE","Arcam","2006",0
"SIZE","ASSA ABLOY B","2006",10.48
"Sales","ASSA ABLOY B","2006",31137
"FSD","ASSA ABLOY B","2006",1
"FSTS","ASSA ABLOY B","2006",0.95
"Tobin's Q","ASSA ABLOY B","2006",2.15
"FXD","ASSA ABLOY B","2006",1
"Gross FXD","ASSA ABLOY B","2006",6202
"DERIV","ASSA ABLOY B","2006",0.2
"R&D/sales","ASSA ABLOY B","2006",0.023
"Leverage","ASSA ABLOY B","2006",0.99
"Quick ratio","ASSA ABLOY B","2006",0.093
"Capex/sales","ASSA ABLOY B","2006",0.024
"ROA ","ASSA ABLOY B","2006",0.049
"DD","ASSA ABLOY B","2006",1
"ID","ASSA ABLOY B","2006",0
"DE","ASSA ABLOY B","2006",-1326
"DDE","ASSA ABLOY B","2006",0
"SIZE","Atlas Copco","2006",10.92
"Sales","Atlas Copco","2006",50512
"FSD","Atlas Copco","2006",1
"FSTS","Atlas Copco","2006",0.977
"Tobin's Q","Atlas Copco","2006",2.92
"FXD","Atlas Copco","2006",1
"Gross FXD","Atlas Copco","2006",62
"DERIV","Atlas Copco","2006",0
"R&D/sales","Atlas Copco","2006",0.022
"Leverage","Atlas Copco","2006",0.27
"Quick ratio","Atlas Copco","2006",1.09
"Capex/sales","Atlas Copco","2006",0.055
"ROA ","Atlas Copco","2006",0.28
"DD","Atlas Copco","2006",1
"ID","Atlas Copco","2006",1
"DE","Atlas Copco","2006",3972
"DDE","Atlas Copco","2006",0
"SIZE","B&B tools","2006",8.02
"Sales","B&B tools","2006",5058
"FSD","B&B tools","2006",1
"FSTS","B&B tools","2006",0.36
"Tobin's Q","B&B tools","2006",1.92
"FXD","B&B tools","2006",1
"Gross FXD","B&B tools","2006",177
"DERIV","B&B tools","2006",0.03
"R&D/sales","B&B tools","2006",0
"Leverage","B&B tools","2006",0.62
"Quick ratio","B&B tools","2006",0.2
"Capex/sales","B&B tools","2006",0.067
"ROA ","B&B tools","2006",0.068
"DD","B&B tools","2006",1
"ID","B&B tools","2006",0
"DE","B&B tools","2006",-12
"DDE","B&B tools","2006",0
"SIZE","Beijer alma","2006",7.1
"Sales","Beijer alma","2006",1487
"FSD","Beijer alma","2006",1
"FSTS","Beijer alma","2006",0.79
"Tobin's Q","Beijer alma","2006",2.66
"FXD","Beijer alma","2006",1
"Gross FXD","Beijer alma","2006",249.6
"DERIV","Beijer alma","2006",0.17
"R&D/sales","Beijer alma","2006",0.008
"Leverage","Beijer alma","2006",0.25
"Quick ratio","Beijer alma","2006",0.52
"Capex/sales","Beijer alma","2006",0.048
"ROA ","Beijer alma","2006",0.16
"DD","Beijer alma","2006",1
"ID","Beijer alma","2006",1
"DE","Beijer alma","2006",19.2
"DDE","Beijer alma","2006",1
"SIZE","Beijer ref","2006",7.34
"Sales","Beijer ref","2006",2592
"FSD","Beijer ref","2006",1
"FSTS","Beijer ref","2006",0.67
"Tobin's Q","Beijer ref","2006",1.5
"FXD","Beijer ref","2006",0
"Gross FXD","Beijer ref","2006",0
"DERIV","Beijer ref","2006",0
"R&D/sales","Beijer ref","2006",0.00089
"Leverage","Beijer ref","2006",1.05
"Quick ratio","Beijer ref","2006",0.08
"Capex/sales","Beijer ref","2006",0.013
"ROA ","Beijer ref","2006",0.071
"DD","Beijer ref","2006",1
"ID","Beijer ref","2006",0
"DE","Beijer ref","2006",0
"DDE","Beijer ref","2006",0
"SIZE","Bilia","2006",8.7
"Sales","Bilia","2006",14056
"FSD","Bilia","2006",1
"FSTS","Bilia","2006",0.38
"Tobin's Q","Bilia","2006",1.1
"FXD","Bilia","2006",0
"Gross FXD","Bilia","2006",0
"DERIV","Bilia","2006",0
"R&D/sales","Bilia","2006",0
"Leverage","Bilia","2006",0.29
"Quick ratio","Bilia","2006",0.04
"Capex/sales","Bilia","2006",0.005
"ROA ","Bilia","2006",0.015
"DD","Bilia","2006",1
"ID","Bilia","2006",0
"DE","Bilia","2006",0
"DDE","Bilia","2006",0
"SIZE","BioGaia","2006",4.5
"Sales","BioGaia","2006",87
"FSD","BioGaia","2006",1
"FSTS","BioGaia","2006",0.448275862
"Tobin's Q","BioGaia","2006",7.83
"FXD","BioGaia","2006",0
"Gross FXD","BioGaia","2006",0
"DERIV","BioGaia","2006",0
"R&D/sales","BioGaia","2006",0.22
"Leverage","BioGaia","2006",0
"Quick ratio","BioGaia","2006",2.5
"Capex/sales","BioGaia","2006",0.01
"ROA ","BioGaia","2006",0.03
"DD","BioGaia","2006",1
"ID","BioGaia","2006",0
"DE","BioGaia","2006",0
"DDE","BioGaia","2006",0
"SIZE","Boliden","2006",10.47
"Sales","Boliden","2006",35213
"FSD","Boliden","2006",1
"FSTS","Boliden","2006",0.81
"Tobin's Q","Boliden","2006",1.88
"FXD","Boliden","2006",1
"Gross FXD","Boliden","2006",17159
"DERIV","Boliden","2006",0.49
"R&D/sales","Boliden","2006",0.0061
"Leverage","Boliden","2006",0.19
"Quick ratio","Boliden","2006",0.55
"Capex/sales","Boliden","2006",0.052
"ROA ","Boliden","2006",0.178
"DD","Boliden","2006",1
"ID","Boliden","2006",1
"DE","Boliden","2006",6200
"DDE","Boliden","2006",1
"SIZE","Bure equity","2006",8.26
"Sales","Bure equity","2006",2147
"FSD","Bure equity","2006",1
"FSTS","Bure equity","2006",0.3
"Tobin's Q","Bure equity","2006",0.84
"FXD","Bure equity","2006",0
"Gross FXD","Bure equity","2006",0
"DERIV","Bure equity","2006",0
"R&D/sales","Bure equity","2006",0
"Leverage","Bure equity","2006",0.1
"Quick ratio","Bure equity","2006",0.35
"Capex/sales","Bure equity","2006",0
"ROA ","Bure equity","2006",0.228
"DD","Bure equity","2006",0
"ID","Bure equity","2006",0
"DE","Bure equity","2006",0
"DDE","Bure equity","2006",0
"SIZE","Catena","2006",7.8
"Sales","Catena","2006",177
"FSD","Catena","2006",1
"FSTS","Catena","2006",0.35
"Tobin's Q","Catena","2006",1.1
"FXD","Catena","2006",0
"Gross FXD","Catena","2006",0
"DERIV","Catena","2006",0
"R&D/sales","Catena","2006",0
"Leverage","Catena","2006",1.6
"Quick ratio","Catena","2006",0.25
"Capex/sales","Catena","2006",0.032
"ROA ","Catena","2006",0.105
"DD","Catena","2006",0
"ID","Catena","2006",0
"DE","Catena","2006",0
"DDE","Catena","2006",0
